the_geom,BoroCode,BoroName,BoroCD,CounDist,AssemDist,StSenDist,CongDist,street,segmentid,Rank,PMP_ID,NTA2020,Boro,Category,NTAName,FEMAFldz,FEMAFldT,HrcEvac,SHAPE_Leng
"MULTILINESTRING ((-73.76652749659911 40.66013564526606, -73.76681340698153 40.65905252178214))",4,Queens,413,31,31,10,5,181 STREET,58590,5,64000,QN1306,QN,Baseline,Springfield Gardens (South)-Brookville,X,AREA OF MINIMAL FLOOD HAZARD,3,402.506255
"MULTILINESTRING ((-73.79629930167926 40.675689894386956, -73.79652251841877 40.67568457378529))",4,Queens,412,28,32,10,5,143 STREET,281464,5,58087,QN1203,QN,Baseline,Baisley Park,X,AREA OF MINIMAL FLOOD HAZARD,5,61.94663064
"MULTILINESTRING ((-73.79232499979385 40.74904267171305, -73.79226673765241 40.749040431545325))",4,Queens,411,20,25,11,6,FAIRCHILD AVENUE,180725,5,54049,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,16.16370973
"MULTILINESTRING ((-73.79248043447926 40.686889629464645, -73.79211644903619 40.68638277436144))",4,Queens,412,28,32,10,5,JAMES COURT,58885,5,58401,QN1203,QN,Baseline,"South Jamaica,Baisley Park",X,AREA OF MINIMAL FLOOD HAZARD,5,210.4525153
"MULTILINESTRING ((-73.7922665189007 40.751901572487704, -73.79220563720664 40.751899364491074))",4,Queens,411,20,25,11,6,BAGLEY AVENUE,180736,5,47111,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,16.88735557
"MULTILINESTRING ((-73.79237517980255 40.75307044790872, -73.79230613371456 40.75305067434834))",4,Queens,"407,411","20,19","25,26",11,6,HOLLIS COURT BOULEVARD,180741,5,54425,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,20.44146634
"MULTILINESTRING ((-73.79230613371456 40.75305067434834, -73.79131376027233 40.75276652643442))",4,Queens,411,"20,19","25,26",11,6,HOLLIS COURT BOULEVARD,180742,5,54425,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,293.7916669
"MULTILINESTRING ((-73.79245677425901 40.768777094184806, -73.79196330810883 40.768918637273366))",4,Queens,"407,411",19,26,11,6,32 AVENUE,180757,4,54565,QN1101,QN,Community,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,146.0917218
"MULTILINESTRING ((-73.79196330810883 40.768918637273366, -73.79190204109584 40.76893621257129))",4,Queens,411,19,26,11,6,32 AVENUE,180758,4,54565,QN1101,QN,Community,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,18.13844544
"MULTILINESTRING ((-74.25270906711708 40.51197206394596, -74.25206864637924 40.51136081824445))",5,Staten Island,503,51,62,24,11,BENTLEY STREET,36,5,79527,SI0305,SI,Baseline,Tottenville-Charleston,"AE,X",",AREA OF MINIMAL FLOOD HAZARD","1,2",285.1367749
"MULTILINESTRING ((-73.78553549377031 40.75668867401438, -73.78328764383085 40.75729232796168))",4,Queens,411,19,26,11,6,44 AVENUE,180800,5,54452,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,660.4473519
"MULTILINESTRING ((-73.78527359206537 40.76184210551697, -73.78525170799091 40.76175695779714))",4,Queens,411,19,26,11,6,FRANCIS LEWIS BOULEVARD,180808,4,53767,QN1101,QN,Community,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,31.60892512
"MULTILINESTRING ((-73.77734421654229 40.676747271740126, -73.77610365384001 40.676427854202494))",4,Queens,412,28,32,10,5,130 AVENUE,59350,5,58664,QN1204,QN,Baseline,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5,363.2505412
"MULTILINESTRING ((-74.25185153133741 40.50280531364854, -74.2517679506631 40.5026915291616, -74.25167354998759 40.502582180956914, -74.25156898741159 40.50247815098837, -74.25145506936771 40.5023802416375, -74.2513327304861 40.50228915504668))",5,Staten Island,503,51,62,24,11,SATTERLEE STREET,61,3,79670,SI0305,SI,Neighborhood,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"1,5",238.2421978
"MULTILINESTRING ((-73.78241487486882 40.75601538351436, -73.78056273800736 40.756515101096696))",4,Queens,411,19,"25,26",11,6,45 ROAD,180839,5,54449,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,544.4704273
"MULTILINESTRING ((-73.78198911566713 40.75386161671772, -73.78120021423379 40.75407150714831))",4,Queens,411,19,25,11,6,46 ROAD,180840,4,54570,QN1101,QN,Community,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,231.5611426
"MULTILINESTRING ((-73.78336100639508 40.757893059582464, -73.78246571042611 40.75811906580067))",4,Queens,411,19,26,11,6,43 AVENUE,180855,5,54436,QN1101,QN,Baseline,Auburndale,X,AREA OF MINIMAL FLOOD HAZARD,,261.3430505
"MULTILINESTRING ((-74.19428708335175 40.55491478628541, -74.1940135009953 40.55467825588226))",5,Staten Island,503,51,63,24,11,HAMPTON GREEN,110087,5,77389,SI0303,SI,Baseline,Arden Heights-Rossville,X,AREA OF MINIMAL FLOOD HAZARD,,114.9156894
"MULTILINESTRING ((-74.19355035688768 40.55484527486344, -74.19395214009806 40.55461671927127))",5,Staten Island,503,51,63,24,11,HAMPTON GREEN,117916,5,77707,SI0303,SI,Baseline,Arden Heights-Rossville,X,AREA OF MINIMAL FLOOD HAZARD,,139.2811212
"MULTILINESTRING ((-74.19395214009806 40.55461671927127, -74.19348014157858 40.554126978794606))",5,Staten Island,503,51,63,24,11,HAMPTON GREEN,118288,5,77351,SI0303,SI,Baseline,Arden Heights-Rossville,X,AREA OF MINIMAL FLOOD HAZARD,,221.4468173
"MULTILINESTRING ((-73.77624015040554 40.676096831890064, -73.77624215998395 40.676122212387284, -73.77624229822428 40.67614763877342, -73.77624056421057 40.6761730309008, -73.7762369653033 40.67619830953805, -73.77623151123157 40.67622339455784, -73.77622421999506 40.67624820855035, -73.77621511315098 40.67627267141118, -73.77620422170399 40.67629670755669, -73.77619157665876 40.67632024140319, -73.77617722084214 40.67634319919103, -73.77616119707807 40.67636550806087, -73.77614355764415 40.676387097873395, -73.77612435598867 40.67640790209361, -73.77610365384001 40.676427854202494))",4,Queens,412,28,32,10,5,130 AVENUE,321345,5,58664,QN1204,QN,Baseline,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5,129.690961
"MULTILINESTRING ((-73.77686946460162 40.76148122248695, -73.77684654837017 40.76143166820358))",4,Queens,411,19,26,11,6,208 STREET,180959,5,55471,QN1102,QN,Baseline,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,,19.13786464
"MULTILINESTRING ((-73.77730711206628 40.76242767402165, -73.77686946460162 40.76148122248695))",4,Queens,411,19,26,11,6,208 STREET,180958,5,55471,QN1102,QN,Baseline,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,,365.5159831
"MULTILINESTRING ((-74.16168983824416 40.63222826067468, -74.1608895906751 40.63221377811356))",5,Staten Island,501,49,63,23,11,HARBOR LOOP,5608,4,70511,SI0107,SI,Community,Mariner's Harbor-Arlington-Graniteville,X,AREA OF MINIMAL FLOOD HAZARD,,222.1815603
"MULTILINESTRING ((-73.77438624310302 40.762600535444825, -73.7742627603383 40.762140520624406))",4,Queens,411,19,26,11,6,210 STREET,181032,5,55099,QN1102,QN,Baseline,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,,171.0538161
"MULTILINESTRING ((-74.2513633038548 40.502879056247934, -74.25120216950882 40.50243176480687, -74.25120087159218 40.50242542609266, -74.25120013384446 40.502419033921335, -74.25119996345892 40.50241261889519, -74.25120035700105 40.50240620893838, -74.2512013157655 40.50239983466608, -74.25120283395836 40.50239352400758, -74.25120490578574 40.50238730489204, -74.25120751956207 40.502381207062626, -74.25121066594755 40.502375256655235, -74.25121432971073 40.50236948161962, -74.25121849443353 40.50236390810718, -74.25122314015542 40.50235856137654, -74.25122824808896 40.50235346488254, -74.25123379236834 40.50234864209567, -74.25123974948379 40.502344115580705, -74.25124609237632 40.50233990520849, -74.25125279280388 40.502336029951984, -74.2513327304861 40.50228915504668))",5,Staten Island,503,51,62,24,11,CRAIG AVENUE,63,5,79593,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,5,236.7809703
"MULTILINESTRING ((-73.77734421654229 40.676747271740126, -73.77610365384001 40.676427854202494))",4,Queens,412,28,32,10,5,130 AVENUE,59350,5,58664,QN1204,QN,Baseline,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5,363.2505412
"MULTILINESTRING ((-74.16873826906392 40.540109922789235, -74.16901769018962 40.54009671980369))",5,Staten Island,503,51,62,24,11,AMBOY ROAD,159564,5,76876,SI0302,SI,Baseline,"Great Kills-Eltingville,Annadale-Huguenot-Prince's Bay-Woodrow",X,AREA OF MINIMAL FLOOD HAZARD,,77.81276129
"MULTILINESTRING ((-73.77761449974695 40.68207724410651, -73.77736063564659 40.68216587735747))",4,Queens,412,27,32,10,5,120 AVENUE,59375,5,58110,QN1203,QN,Baseline,Baisley Park,X,AREA OF MINIMAL FLOOD HAZARD,5,77.46220447
"MULTILINESTRING ((-74.24970246818053 40.50321207920006, -74.2505210168547 40.503041599179035))",5,Staten Island,503,51,62,24,11,HYLAN BOULEVARD,67,5,79745,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,5,235.9591524
"MULTILINESTRING ((-73.77734421654229 40.676747271740126, -73.77610365384001 40.676427854202494))",4,Queens,412,28,32,10,5,130 AVENUE,59350,5,58664,QN1204,QN,Baseline,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5,363.2505412
"MULTILINESTRING ((-74.24970246818053 40.50321207920006, -74.24884796490724 40.50073781206133))",5,Staten Island,503,51,62,24,11,CONNECTICUT STREET,68,5,79426,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,"2,5",932.2296812
"MULTILINESTRING ((-73.76561481128401 40.75222851218036, -73.76559212485475 40.752177506216654))",4,Queens,411,23,25,11,6,214 STREET,181150,5,55415,QN1102,QN,Baseline,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,,19.61736481
"MULTILINESTRING ((-73.76559212485475 40.752177506216654, -73.76491635428735 40.750657780769444))",4,Queens,411,23,25,11,6,214 STREET,181149,5,55415,QN1102,QN,Baseline,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,,584.4857533
"MULTILINESTRING ((-73.76462271766081 40.7526010639757, -73.76455988200146 40.75256544740516))",4,Queens,411,23,"25,26",11,6,BELL BOULEVARD,181154,4,54679,QN1102,QN,Community,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,,21.71336252
"MULTILINESTRING ((-73.76307902102073 40.751121695697314, -73.76302014870085 40.751147599304))",4,Queens,411,23,"25,26",11,6,56 AVENUE,181177,5,54782,QN1102,QN,Baseline,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,,18.84506668
"MULTILINESTRING ((-73.76256090968955 40.75134969946154, -73.76226416166298 40.75148029245604))",4,Queens,411,23,26,11,6,56 AVENUE,181178,5,54782,QN1102,QN,Baseline,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,,94.99348283
"MULTILINESTRING ((-73.76302014870085 40.751147599304, -73.76260653484215 40.75132962209775))",4,Queens,411,23,26,11,6,56 AVENUE,181175,5,54782,QN1102,QN,Baseline,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,,132.4041428
"MULTILINESTRING ((-73.76260653484215 40.75132962209775, -73.76256090968955 40.75134969946154))",4,Queens,411,23,26,11,6,56 AVENUE,181176,5,54782,QN1102,QN,Baseline,Bayside,X,AREA OF MINIMAL FLOOD HAZARD,,14.60505585
"MULTILINESTRING ((-73.79829966752423 40.77444986754921, -73.79795728407991 40.77442359431057))",4,Queens,407,19,"40,26",11,"3,6",25 AVENUE,181200,5,46466,QN0704,QN,Baseline,Murray Hill-Broadway Flushing,X,AREA OF MINIMAL FLOOD HAZARD,,95.31225264
"MULTILINESTRING ((-73.7949912934376 40.77314334805025, -73.79365230308966 40.77336043810574))",4,Queens,407,19,26,11,"3,6",26 AVENUE,181197,5,54315,QN1101,QN,Baseline,"Bay Terrace-Clearview,Auburndale",X,AREA OF MINIMAL FLOOD HAZARD,,379.2085236
"MULTILINESTRING ((-73.7667545549239 40.66274881022943, -73.76606402586525 40.66268041746379))",4,Queens,413,31,31,10,5,146 ROAD,59673,5,63538,QN1306,QN,Baseline,Springfield Gardens (South)-Brookville,X,AREA OF MINIMAL FLOOD HAZARD,3,193.1911898
"MULTILINESTRING ((-74.14587300828036 40.5445098548191, -74.14647615040803 40.544028367154674))",5,Staten Island,503,51,64,24,11,FLORENCE STREET,6198,5,76589,SI0302,SI,Baseline,Great Kills-Eltingville,X,AREA OF MINIMAL FLOOD HAZARD,,242.6339269
"MULTILINESTRING ((-74.11343925827254 40.6103451548926, -74.11448443295892 40.61027649842007))",5,Staten Island,502,50,63,24,11,LORTEL AVENUE,12614,5,73559,SI0203,SI,Baseline,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights,X,AREA OF MINIMAL FLOOD HAZARD,,291.2727921
"MULTILINESTRING ((-73.76811748709216 40.66941415459782, -73.76810629748206 40.669315929583966))",4,Queens,412,31,32,10,5,172 STREET,59717,5,58781,QN1204,QN,Baseline,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,"4,5",35.92053019
"MULTILINESTRING ((-74.11358478261609 40.62369716842362, -74.11173250366329 40.624262160258816))",5,Staten Island,501,49,61,24,11,DOUGLAS AVENUE,12652,5,68675,SI0104,SI,Baseline,West New Brighton-Silver Lake-Grymes Hill,X,AREA OF MINIMAL FLOOD HAZARD,,553.8583654
"MULTILINESTRING ((-74.16373271173838 40.577446490139934, -74.16437818422386 40.576840045847966))",5,Staten Island,502,51,63,24,11,MARSH AVENUE,105338,3,74714,SI0204,SI,Neighborhood,New Springville-Willowbrook-Bulls Head-Travis,X,AREA OF MINIMAL FLOOD HAZARD,5,284.5464304
"MULTILINESTRING ((-73.76653824176218 40.663640605990814, -73.7667545549239 40.66274881022943))",4,Queens,413,31,31,10,5,179 STREET,59816,5,63957,QN1306,QN,Baseline,Springfield Gardens (South)-Brookville,X,AREA OF MINIMAL FLOOD HAZARD,3,330.4021549
"MULTILINESTRING ((-74.16383674940056 40.57651064057529, -74.16437818422386 40.576840045847966))",5,Staten Island,502,51,63,24,11,PLATINUM AVENUE,159652,3,74681,SI0204,SI,Neighborhood,New Springville-Willowbrook-Bulls Head-Travis,X,AREA OF MINIMAL FLOOD HAZARD,5,192.4184308
"MULTILINESTRING ((-73.76373610265229 40.678134539319636, -73.76357803977001 40.67774441648676))",4,Queens,412,27,32,10,5,178 STREET,59927,5,58918,QN1204,QN,Baseline,Springfield Gardens (North)-Rochdale Village,X,AREA OF MINIMAL FLOOD HAZARD,5,148.7411373
"MULTILINESTRING ((-73.79768331330517 40.69261145962156, -73.79721310342273 40.69196284629793))",4,Queens,412,28,32,10,5,153 STREET,60015,5,57408,QN1202,QN,Baseline,South Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,6,269.8977925
"MULTILINESTRING ((-74.25050042368487 40.50553699356343, -74.24970246818053 40.50321207920006))",5,Staten Island,503,51,62,24,11,CONNECTICUT STREET,75,5,79715,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,5,875.6049784
"MULTILINESTRING ((-73.78907780602906 40.84366863397593, -73.78751899614824 40.84401385950243))",2,Bronx,210,13,82,34,14,CENTRE STREET,181444,5,26477,BX1003,BX,Baseline,Pelham Bay-Country Club-City Island,"AE,X",",0.2 PCT ANNUAL CHANCE FLOOD HAZARD,AREA OF MINIMAL FLOOD HAZARD",1,449.2617155
"MULTILINESTRING ((-73.79828840098853 40.70045334887791, -73.79785060700543 40.70062492215213))",4,Queens,412,27,32,14,5,EVANS ROAD,60062,3,57275,QN1201,QN,Neighborhood,Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,6,136.5399434
"MULTILINESTRING ((-74.25217144259352 40.5068981637826, -74.25232394858956 40.50563945067013))",5,Staten Island,503,51,62,24,11,CRAIG AVENUE,79,5,79870,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,460.5347179
"MULTILINESTRING ((-73.78789902786481 40.68929695578594, -73.78748507935263 40.68941804991169))",4,Queens,412,28,32,10,5,MEYER AVENUE,60450,5,57878,QN1202,QN,Baseline,South Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,"5,6",122.983988
"MULTILINESTRING ((-74.24969508870883 40.506003189543044, -74.25057471633528 40.50588378874902))",5,Staten Island,503,51,62,24,11,SHORE ROAD,77,5,79714,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,248.4516257
"MULTILINESTRING ((-73.7617885138373 40.73324213972133, -73.76176403980485 40.733190462771184))",4,Queens,411,23,24,11,6,209 STREET,181557,5,56521,QN1104,QN,Baseline,Oakland Gardens-Hollis Hills,X,AREA OF MINIMAL FLOOD HAZARD,,20.01205549
"MULTILINESTRING ((-74.25173297640056 40.50688465483665, -74.25146174311128 40.50575944808162))",5,Staten Island,503,51,62,24,11,BRYAN STREET,82,5,79730,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,416.8196733
"MULTILINESTRING ((-74.25208045419114 40.50758298489239, -74.25217144259352 40.5068981637826))",5,Staten Island,503,51,62,24,11,CRAIG AVENUE,81,5,79766,SI0305,SI,Baseline,Tottenville-Charleston,X,AREA OF MINIMAL FLOOD HAZARD,,250.775649
"MULTILINESTRING ((-74.0395811100665 40.62934957247792, -74.03857697758826 40.62911341930146))",3,Brooklyn,310,43,64,22,11,HARBOR LANE,16654,5,9378,BK1001,BK,Baseline,Bay Ridge,X,AREA OF MINIMAL FLOOD HAZARD,,291.69922
"MULTILINESTRING ((-73.78603018627754 40.693859956513606, -73.78589982098418 40.6936792462565))",4,Queens,412,27,32,14,5,166 STREET,60501,5,57662,QN1202,QN,Baseline,South Jamaica,X,AREA OF MINIMAL FLOOD HAZARD,5,75.11031025
